sigma_in_sq,k_gain,alpha_gain_noise,s_max,amplitude_s_true,optimal_g_mse,min_mse_at_opt_g
0.0001,0.001,1.0,0.75,0.5,0.9999999999999999,0.00010317456207987719
0.0001,0.001,1.0,0.75,1.0,0.9999999999999999,0.015197666613274425
0.0001,0.001,1.0,0.75,1.5,0.9999999999999999,0.19467243848786728
0.0001,0.001,1.0,0.75,2.0,0.9999999999999999,0.6075868033530782
0.0001,0.001,1.0,1.0,0.5,0.9999999999999999,0.00010372910865423852
0.0001,0.001,1.0,1.0,1.0,0.9999999999999999,9.293874142796846e-05
0.0001,0.001,1.0,1.0,1.5,0.9999999999999999,0.07021311389652019
0.0001,0.001,1.0,1.0,2.0,0.9999999999999999,0.3460527888053687
0.0001,0.001,1.0,2.5,0.5,0.9999999999999999,9.851773624289784e-05
0.0001,0.001,1.0,2.5,1.0,0.9999999999999999,9.971926683491187e-05
0.0001,0.001,1.0,2.5,1.5,0.9999999999999999,9.974802158732753e-05
0.0001,0.001,1.0,2.5,2.0,0.9999999999999999,0.00010194599222140445
0.0001,0.001,1.0,5.0,0.5,0.9999999999999999,0.00010062603175325258
0.0001,0.001,1.0,5.0,1.0,0.9999999999999999,9.954975693212464e-05
0.0001,0.001,1.0,5.0,1.5,0.9999999999999999,9.946751724235016e-05
0.0001,0.001,1.0,5.0,2.0,0.9999999999999999,0.00010243906365312114
0.0001,0.001,1.5,0.75,0.5,0.9999999999999999,0.00010413704630817956
0.0001,0.001,1.5,0.75,1.0,0.9999999999999999,0.015199039674629117
0.0001,0.001,1.5,0.75,1.5,0.9999999999999999,0.19466943327046185
0.0001,0.001,1.5,0.75,2.0,0.9999999999999999,0.6075857718109934
0.0001,0.001,1.5,1.0,0.5,0.9999999999999999,9.895747351732565e-05
0.0001,0.001,1.5,1.0,1.0,0.9999999999999999,9.606324771957729e-05
0.0001,0.001,1.5,1.0,1.5,0.9999999999999999,0.07021103328681619
0.0001,0.001,1.5,1.0,2.0,0.9999999999999999,0.3460528863786852
0.0001,0.001,1.5,2.5,0.5,0.9999999999999999,9.96799828244642e-05
0.0001,0.001,1.5,2.5,1.0,0.9999999999999999,0.00010127553857480285
0.0001,0.001,1.5,2.5,1.5,0.9999999999999999,9.72269645044979e-05
0.0001,0.001,1.5,2.5,2.0,0.9999999999999999,9.767423525563102e-05
0.0001,0.001,1.5,5.0,0.5,0.9999999999999999,0.00010110561834244523
0.0001,0.001,1.5,5.0,1.0,0.9999999999999999,9.809227944004366e-05
0.0001,0.001,1.5,5.0,1.5,0.9999999999999999,0.00010211689335340251
0.0001,0.001,1.5,5.0,2.0,0.9999999999999999,0.00010417252971563947
0.0001,0.001,2.0,0.75,0.5,0.9999999999999999,0.00010076443313929934
0.0001,0.001,2.0,0.75,1.0,0.9999999999999999,0.015199027984801241
0.0001,0.001,2.0,0.75,1.5,0.9999999999999999,0.19466907834340838
0.0001,0.001,2.0,0.75,2.0,0.9999999999999999,0.6075849024642913
0.0001,0.001,2.0,1.0,0.5,0.9999999999999999,0.00010405220529250383
0.0001,0.001,2.0,1.0,1.0,0.9999999999999999,9.72544214485213e-05
0.0001,0.001,2.0,1.0,1.5,0.9999999999999999,0.07021242930306801
0.0001,0.001,2.0,1.0,2.0,0.9999999999999999,0.3460533119303878
0.0001,0.001,2.0,2.5,0.5,0.9999999999999999,0.00010255683583673088
0.0001,0.001,2.0,2.5,1.0,0.9999999999999999,9.707823519513624e-05
0.0001,0.001,2.0,2.5,1.5,0.9999999999999999,0.00010014643177750711
0.0001,0.001,2.0,2.5,2.0,0.9999999999999999,9.829340796682527e-05
0.0001,0.001,2.0,5.0,0.5,0.9999999999999999,0.00010517786611105966
0.0001,0.001,2.0,5.0,1.0,0.9999999999999999,9.999510866216976e-05
0.0001,0.001,2.0,5.0,1.5,0.9999999999999999,0.00010349245306120996
0.0001,0.001,2.0,5.0,2.0,0.9999999999999999,9.683315453958717e-05
0.0001,0.01,1.0,0.75,0.5,0.9999999999999999,0.00010160576008656293
0.0001,0.01,1.0,0.75,1.0,0.9999999999999999,0.015198517330345404
0.0001,0.01,1.0,0.75,1.5,0.9999999999999999,0.19466979665151674
0.0001,0.01,1.0,0.75,2.0,0.9999999999999999,0.6075860585491741
0.0001,0.01,1.0,1.0,0.5,0.9999999999999999,0.00010126327738815319
0.0001,0.01,1.0,1.0,1.0,0.9999999999999999,9.655496323502506e-05
0.0001,0.01,1.0,1.0,1.5,0.9999999999999999,0.07021420118761626
0.0001,0.01,1.0,1.0,2.0,0.9999999999999999,0.34605477680866514
0.0001,0.01,1.0,2.5,0.5,0.9999999999999999,9.905705475291727e-05
0.0001,0.01,1.0,2.5,1.0,0.9999999999999999,0.00010360211747560627
0.0001,0.01,1.0,2.5,1.5,0.9999999999999999,0.00010203792540556365
0.0001,0.01,1.0,2.5,2.0,0.9999999999999999,9.953761446220279e-05
0.0001,0.01,1.0,5.0,0.5,0.9999999999999999,9.931559142264531e-05
0.0001,0.01,1.0,5.0,1.0,0.9999999999999999,0.00010053787877321952
0.0001,0.01,1.0,5.0,1.5,0.9999999999999999,0.00010158988894431382
0.0001,0.01,1.0,5.0,2.0,0.9999999999999999,9.939471398018473e-05
0.0001,0.01,1.5,0.75,0.5,0.9999999999999999,9.747115535460557e-05
0.0001,0.01,1.5,0.75,1.0,0.9999999999999999,0.015198549333177208
0.0001,0.01,1.5,0.75,1.5,0.9999999999999999,0.19466856993029144
0.0001,0.01,1.5,0.75,2.0,0.9999999999999999,0.6075862773034564
0.0001,0.01,1.5,1.0,0.5,0.9999999999999999,0.00010237663026385908
0.0001,0.01,1.5,1.0,1.0,0.9999999999999999,9.345675983718657e-05
0.0001,0.01,1.5,1.0,1.5,0.9999999999999999,0.07021052581325624
0.0001,0.01,1.5,1.0,2.0,0.9999999999999999,0.34605487499973225
0.0001,0.01,1.5,2.5,0.5,0.9999999999999999,0.00010148705722282359
0.0001,0.01,1.5,2.5,1.0,0.9999999999999999,0.00010135107952418642
0.0001,0.01,1.5,2.5,1.5,0.9999999999999999,0.00010550203192811946
0.0001,0.01,1.5,2.5,2.0,0.9999999999999999,0.00010145247854926496
0.0001,0.01,1.5,5.0,0.5,0.9999999999999999,9.836338327868668e-05
0.0001,0.01,1.5,5.0,1.0,0.9999999999999999,0.00010556920456393515
0.0001,0.01,1.5,5.0,1.5,0.9999999999999999,9.838127451196774e-05
0.0001,0.01,1.5,5.0,2.0,0.9999999999999999,0.0001017239941454754
0.0001,0.01,2.0,0.75,0.5,0.9999999999999999,0.0001017704453264076
0.0001,0.01,2.0,0.75,1.0,0.9999999999999999,0.015197636598668665
0.0001,0.01,2.0,0.75,1.5,0.9999999999999999,0.19467119799603802
0.0001,0.01,2.0,0.75,2.0,0.9999999999999999,0.6075867698605778
0.0001,0.01,2.0,1.0,0.5,0.9999999999999999,0.00010307189625890966
0.0001,0.01,2.0,1.0,1.0,0.9999999999999999,9.737049052472606e-05
0.0001,0.01,2.0,1.0,1.5,0.9999999999999999,0.0702122384339392
0.0001,0.01,2.0,1.0,2.0,0.9999999999999999,0.34605395898046687
0.0001,0.01,2.0,2.5,0.5,0.9999999999999999,0.0001023037599454338
0.0001,0.01,2.0,2.5,1.0,0.9999999999999999,9.895242670322254e-05
0.0001,0.01,2.0,2.5,1.5,0.9999999999999999,0.0001027179436213773
0.0001,0.01,2.0,2.5,2.0,0.9999999999999999,0.00010498612376539354
0.0001,0.01,2.0,5.0,0.5,0.9999999999999999,0.00010038299447511643
0.0001,0.01,2.0,5.0,1.0,0.9999999999999999,0.00010014850935026114
0.0001,0.01,2.0,5.0,1.5,0.9999999999999999,0.00010338377528079348
0.0001,0.01,2.0,5.0,2.0,0.9999999999999999,0.00010126860136222394
0.0001,0.05,1.0,0.75,0.5,0.9999999999999999,0.00010643810141364065
0.0001,0.05,1.0,0.75,1.0,0.9999999999999999,0.015201301736977655
0.0001,0.05,1.0,0.75,1.5,0.9999999999999999,0.1946739704383404
0.0001,0.05,1.0,0.75,2.0,0.9999999999999999,0.6075895673142018
0.0001,0.05,1.0,1.0,0.5,0.9999999999999999,0.0001038187638126259
0.0001,0.05,1.0,1.0,1.0,0.9999999999999999,9.953132407936892e-05
0.0001,0.05,1.0,1.0,1.5,0.9999999999999999,0.07021521102866221
0.0001,0.05,1.0,1.0,2.0,0.9999999999999999,0.3460551664905105
0.0001,0.05,1.0,2.5,0.5,0.9999999999999999,0.00010580433421977179
0.0001,0.05,1.0,2.5,1.0,0.9999999999999999,0.00010952201953720059
0.0001,0.05,1.0,2.5,1.5,0.9999999999999999,0.00010574171469558023
0.0001,0.05,1.0,2.5,2.0,0.9999999999999999,9.990740449586492e-05
0.0001,0.05,1.0,5.0,0.5,0.9999999999999999,0.00010557059891513787
0.0001,0.05,1.0,5.0,1.0,0.9999999999999999,0.00010230039451733742
0.0001,0.05,1.0,5.0,1.5,0.9999999999999999,0.00010863899200693145
0.0001,0.05,1.0,5.0,2.0,0.9999999999999999,0.0001033571041015278
0.0001,0.05,1.5,0.75,0.5,0.9999999999999999,0.0001046664477268785
0.0001,0.05,1.5,0.75,1.0,0.9999999999999999,0.01520125422845323
0.0001,0.05,1.5,0.75,1.5,0.9999999999999999,0.19467131511885932
0.0001,0.05,1.5,0.75,2.0,0.9999999999999999,0.6075863455966285
0.0001,0.05,1.5,1.0,0.5,0.9999999999999999,0.0001078229454318834
0.0001,0.05,1.5,1.0,1.0,0.9999999999999999,9.839574163613637e-05
0.0001,0.05,1.5,1.0,1.5,0.9999999999999999,0.07021716492657741
0.0001,0.05,1.5,1.0,2.0,0.9999999999999999,0.34605411384768847
0.0001,0.05,1.5,2.5,0.5,0.9999999999999999,0.00010366262208098546
0.0001,0.05,1.5,2.5,1.0,0.9999999999999999,0.00010621438697394267
0.0001,0.05,1.5,2.5,1.5,0.9999999999999999,0.00010585672254893004
0.0001,0.05,1.5,2.5,2.0,0.9999999999999999,0.00010201713575288453
0.0001,0.05,1.5,5.0,0.5,0.9999999999999999,0.00010679348893633
0.0001,0.05,1.5,5.0,1.0,0.9999999999999999,0.00010508974695438015
0.0001,0.05,1.5,5.0,1.5,0.9999999999999999,0.00010358125222940991
0.0001,0.05,1.5,5.0,2.0,0.9999999999999999,0.00010765995105313331
0.0001,0.05,2.0,0.75,0.5,0.9999999999999999,0.00010309814789452854
0.0001,0.05,2.0,0.75,1.0,0.9999999999999999,0.015203105699168324
0.0001,0.05,2.0,0.75,1.5,0.9999999999999999,0.1946730628160593
0.0001,0.05,2.0,0.75,2.0,0.9999999999999999,0.6075892756010516
0.0001,0.05,2.0,1.0,0.5,0.9999999999999999,0.00010404275802895981
0.0001,0.05,2.0,1.0,1.0,0.9999999999999999,0.00010023846197356242
0.0001,0.05,2.0,1.0,1.5,0.9999999999999999,0.07021425303239665
0.0001,0.05,2.0,1.0,2.0,0.9999999999999999,0.34605259074017847
0.0001,0.05,2.0,2.5,0.5,0.9999999999999999,0.00011031147811622845
0.0001,0.05,2.0,2.5,1.0,0.9999999999999999,0.00010756402506839852
0.0001,0.05,2.0,2.5,1.5,0.9999999999999999,0.00010119899454573899
0.0001,0.05,2.0,2.5,2.0,0.9999999999999999,0.00010283393495087812
0.0001,0.05,2.0,5.0,0.5,0.9999999999999999,0.00010683773184894487
0.0001,0.05,2.0,5.0,1.0,0.9999999999999999,0.0001066797338478289
0.0001,0.05,2.0,5.0,1.5,0.9999999999999999,0.00010862152129336065
0.0001,0.05,2.0,5.0,2.0,0.9999999999999999,0.00010380069652628496
0.0001,0.1,1.0,0.75,0.5,0.9999999999999999,0.00010506499885594419
0.0001,0.1,1.0,0.75,1.0,0.9999999999999999,0.015201036635241267
0.0001,0.1,1.0,0.75,1.5,0.9999999999999999,0.19467369429864426
0.0001,0.1,1.0,0.75,2.0,0.9999999999999999,0.6075890183987624
0.0001,0.1,1.0,1.0,0.5,0.9999999999999999,0.00010919545127603728
0.0001,0.1,1.0,1.0,1.0,0.9999999999999999,0.0001042457370728602
0.0001,0.1,1.0,1.0,1.5,0.9999999999999999,0.07021431571258223
0.0001,0.1,1.0,1.0,2.0,0.9999999999999999,0.34605609746160404
0.0001,0.1,1.0,2.5,0.5,0.9999999999999999,0.00010591120057005885
0.0001,0.1,1.0,2.5,1.0,0.9999999999999999,0.0001154610227089228
0.0001,0.1,1.0,2.5,1.5,0.9999999999999999,0.00011398467825693115
0.0001,0.1,1.0,2.5,2.0,0.9999999999999999,0.00010875312815334642
0.0001,0.1,1.0,5.0,0.5,0.9999999999999999,0.0001065091976260539
